"Cuba","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","2","0","1","2","0","1","2","0","1","2","0","1","3","1","1","3","1","1","3","1","1","3","1","1","4","1","1","4","1","2","4","1","2","5","1","2","5","1","2"
"Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Czechia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Democratic People's Republic of Korea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Democratic Republic of the Congo","19","4","12","19","4","12","18","4","12","18","4","12","18","3","12","18","3","12","17","3","12","17","3","12","17","3","11","16","3","11","16","3","11","16","3","11","16","3","11","15","3","11","15","3","11","15","3","10","15","3","10","14","3","10"
"Denmark","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Djibouti","66","3","17","66","3","17","66","3","18","67","3","18","67","4","18","67","4","18","67","4","18","67","4","18","67","4","18","67","4","18","67","4","19","67","4","19","67","4","19","67","4","19","67","4","19","67","4","19","67","4","19","67","4","19"
"Dominica","","","","","","","","","4","","","4","","","4","","","4","","","4","","","5","","","6","","","7","","","9","","","10","","","11","","","12","","","14","","","15","","","16","","","17"
"Dominican Republic","7","2","3","7","2","3","7","2","3","7","2","3","8","2","3","8","2","3","8","2","4","8","2","4","8","2","4","8","2","4","9","2","4","9","2","4","9","2","4","9","2","5","9","2","5","9","2","5","9","2","5","10","2","5"
"Ecuador","6","0","2","7","0","3","8","0","3","10","0","4","11","1","5","13","1","5","14","1","6","15","2","7","17","2","7","18","2","8","19","3","9","21","3","10","22","3","10","23","3","11","25","4","12","26","4","13","28","4","13","29","5","14"
"Egypt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","1","0","1","1","0","1","1","1","1","2","1","1","2","1","1","2","1","1","2","1","1","2","1","2","2","1","2"
"El Salvador","4","0","1","5","0","1","6","0","2","7","0","2","8","1","3","9","1","4","10","1","4","11","1","5","12","2","5","14","2","6","15","2","7","16","2","7","17","2","8","18","3","9","19","3","9","20","3","10","20","3","10","20","3","10"
"Equatorial Guinea","4","3","3","4","3","3","4","3","3","4","3","3","4","3","3","4","3","3","5","3","4","6","4","5","7","4","5","7","5","6","8","5","6","9","6","7","10","6","7","10","6","8","11","7","9","12","7","9","12","8","10","13","8","11"
"Eritrea","","","","89","33","67","89","33","67","89","33","68","89","33","68","89","33","68","89","34","69","90","34","71","91","35","72","92","36","73","93","36","74","93","37","75","94","37","76","95","38","78","96","39","79","96","39","80","97","40","81","98","41","83"
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eswatini","9","1","7","9","1","7","10","1","8","12","1","9","13","1","10","14","1","11","15","1","12","17","1","13","18","1","14","19","1","15","21","2","16","22","2","17","23","2","18","24","2","19","26","2","20","27","2","21","28","2","22","30","2","23"
"Ethiopia","27","5","22","30","6","26","34","7","29","38","8","32","41","9","35","45","10","39","49","11","42","52","12","45","56","13","49","60","14","52","63","16","56","67","17","59","71","18","62","74","19","66","78","20","69","81","21","72","85","22","76","89","23","79"
"Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1"
"Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"France","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gabon","7","3","3","7","3","3","7","3","3","6","2","3","6","2","3","6","2","3","6","2","3","5","2","3","5","2","3","5","2","2","5","2","2","4","2","2","4","2","2","4","2","2","4","2","2","3","2","2","3","2","2","3","1","2"
"Gambia","3","0","1","3","0","1","3","0","1","3","0","1","4","0","2","4","0","2","5","0","2","5","0","2","6","1","3","6","1","3","6","1","3","7","1","4","7","1","4","8","1","4","8","1","5","9","1","5","9","1","5","10","1","6"
"Georgia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","2","0","1","2","0","1","2","0","1","3","0","1","3","0","1","3","0","1"
"Germany","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
